Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,225.899994,235.850006,202.000000,211.300003,211.300003,654
2021-02-01,215.899994,228.000000,207.199997,218.550003,218.550003,594
2021-03-01,218.000000,251.850006,210.750000,251.850006,251.850006,634
2021-04-01,252.500000,272.799988,246.850006,270.950012,270.950012,487
2021-05-01,269.049988,273.649994,246.949997,267.649994,267.649994,203
2021-06-01,268.850006,299.500000,266.000000,294.649994,294.649994,237
2021-07-01,294.049988,318.049988,284.350006,301.649994,301.649994,756
2021-08-01,302.000000,323.100006,294.399994,321.750000,321.750000,253
2021-09-01,322.200012,324.649994,291.000000,293.350006,293.350006,107
2021-10-01,292.350006,296.799988,264.649994,281.200012,281.200012,883
2021-11-01,281.500000,313.649994,280.899994,288.500000,288.500000,530
2021-12-01,291.000000,311.049988,265.149994,304.450012,304.450012,285
