Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,539.000000,593.289978,485.670013,532.390015,532.390015,139988600
2021-02-01,536.789978,566.650024,518.280029,538.849976,538.849976,61902300
2021-03-01,545.570007,556.989990,492.850006,521.659973,521.659973,90183900
2021-04-01,529.929993,563.559998,499.000000,513.469971,513.469971,111573300
2021-05-01,512.650024,518.950012,478.540009,502.809998,502.809998,66927600
2021-06-01,504.010010,536.130005,482.140015,528.210022,528.210022,78560600
2021-07-01,525.719971,557.539978,504.660004,517.570007,517.570007,77219000
2021-08-01,519.000000,569.479980,505.369995,569.190002,569.190002,54742300
2021-09-01,569.000000,619.000000,568.080017,610.340027,610.340027,82314700
2021-10-01,604.239990,690.969971,594.679993,690.309998,690.309998,98565000
2021-11-01,689.059998,700.989990,640.010010,641.900024,641.900024,64518400
2021-12-01,649.479980,654.520020,581.739990,602.440002,602.440002,59968000
