Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,3270.000000,3363.889893,3086.000000,3206.199951,3206.199951,71528900
2021-02-01,3242.360107,3434.000000,3036.699951,3092.929932,3092.929932,72107000
2021-03-01,3127.889893,3182.000000,2881.000000,3094.080078,3094.080078,78188000
2021-04-01,3117.939941,3554.000000,3115.550049,3467.419922,3467.419922,76839600
2021-05-01,3484.729980,3486.649902,3127.370117,3223.070068,3223.070068,75183900
2021-06-01,3243.500000,3524.860107,3172.199951,3440.159912,3440.159912,67011000
2021-07-01,3434.610107,3773.080078,3306.979980,3327.590088,3327.590088,83720800
2021-08-01,3353.100098,3472.580078,3175.760010,3470.790039,3470.790039,62813700
2021-09-01,3496.399902,3549.989990,3273.989990,3285.040039,3285.040039,62523700
2021-10-01,3289.010010,3479.000000,3176.250000,3372.429932,3372.429932,63649200
2021-11-01,3361.800049,3762.149902,3283.550049,3507.070068,3507.070068,75795100
2021-12-01,3545.000000,3559.879883,3303.899902,3334.340088,3334.340088,64369500
