Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,1757.540039,1934.859985,1699.000000,1835.739990,1835.739990,33082700
2021-02-01,1853.569946,2152.679932,1850.930054,2036.859985,2036.859985,29429000
2021-03-01,2056.520020,2128.810059,2010.000000,2068.629883,2068.629883,34794200
2021-04-01,2097.949951,2452.377930,2096.889893,2410.120117,2410.120117,30724700
2021-05-01,2402.719971,2442.944092,2230.050049,2411.560059,2411.560059,25455700
2021-06-01,2422.000000,2555.919922,2382.830078,2506.320068,2506.320068,27432800
2021-07-01,2496.995117,2800.219971,2496.995117,2704.419922,2704.419922,22837700
2021-08-01,2709.689941,2929.790039,2683.669922,2909.239990,2909.239990,18615200
2021-09-01,2913.000000,2936.409912,2660.000000,2665.310059,2665.310059,25258600
2021-10-01,2671.090088,2982.360107,2623.330078,2965.409912,2965.409912,24828600
2021-11-01,2963.300049,3037.000000,2841.320068,2849.040039,2849.040039,22157500
2021-12-01,2884.250000,2992.100098,2805.000000,2893.590088,2893.590088,23953900
