Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,107.660004,107.750000,95.919998,96.809998,95.235695,123895000
2021-02-01,96.989998,109.480003,96.919998,108.029999,106.273232,115469700
2021-03-01,108.599998,112.339996,102.750000,109.269997,107.950691,163152800
2021-04-01,110.059998,118.980003,108.199997,114.489998,113.107674,127018100
2021-05-01,115.180000,116.739998,108.879997,113.879997,112.505035,113824900
2021-06-01,114.559998,114.620003,109.260002,111.809998,110.899529,106401000
2021-07-01,111.949997,126.320000,111.809998,121.430000,120.441193,123984700
2021-08-01,122.029999,122.980003,113.610001,117.489998,116.533272,114452800
2021-09-01,118.010002,120.760002,110.309998,110.309998,109.836403,115994200
2021-10-01,110.889999,115.570000,104.019997,106.070000,105.614609,133475800
2021-11-01,107.230003,117.470001,107.199997,109.639999,109.169281,161724000
2021-12-01,110.959999,117.480003,106.610001,116.970001,116.970001,136703100
